Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Nfe2l1	ENSMUST00000107659.2	nuclear factor, erythroid derived 2,-like 1 	1505	0	0	0	0	0	mmu-miR-486a-3p				-0.41	-0.41	< 0.1
Cacng1	ENSMUST00000021065.5	calcium channel, voltage-dependent, gamma subunit 1 	405	1	1	0	0	0	mmu-miR-486a-3p				-0.41	-0.41	< 0.1
Lims2	ENSMUST00000025254.7	LIM and senescent cell antigen like domains 2 	123	1	1	0	0	0	mmu-miR-6954-5p				-0.41	-0.41	< 0.1
Acss2	ENSMUST00000029135.9	acyl-CoA synthetase short-chain family member 2 	1570	2	0	1	1	0	mmu-miR-6954-5p				-0.41	-0.65	< 0.1
Chmp6	ENSMUST00000026434.7	charged multivesicular body protein 6 	3087	1	1	0	0	0	mmu-miR-486a-3p				-0.41	-0.41	< 0.1
Cyth4	ENSMUST00000043069.5	cytohesin 4 	1036	2	0	2	0	0	mmu-miR-6954-5p				-0.41	-0.41	< 0.1
Unk	ENSMUST00000021116.6	unkempt homolog (Drosophila) 	453	1	1	0	0	0	mmu-miR-486a-3p				-0.41	-0.41	< 0.1
Syt5	ENSMUST00000065957.5	synaptotagmin V 	45	1	1	0	0	0	mmu-miR-486a-3p				-0.41	-0.41	< 0.1
Iscu	ENSMUST00000112311.2	IscU iron-sulfur cluster scaffold homolog (E. coli) 	79	1	0	1	0	0	mmu-miR-6954-5p				-0.41	-0.41	< 0.1
Arhgef2	ENSMUST00000176500.2	rho/rac guanine nucleotide exchange factor (GEF) 2 	1011	4	0	3	1	2	mmu-miR-6954-5p				-0.41	-0.62	< 0.1
Rhobtb2	ENSMUST00000022665.2	Rho-related BTB domain containing 2 	340	2	1	0	1	0	mmu-miR-486a-3p				-0.41	-0.53	< 0.1
Taok1	ENSMUST00000017435.5	TAO kinase 1 	1659	5	1	3	1	1	mmu-miR-486a-3p				-0.41	-0.49	< 0.1
Wiz	ENSMUST00000087703.6	widely-interspaced zinc finger motifs 	184	2	0	1	1	0	mmu-miR-486a-3p				-0.41	-0.41	< 0.1
Dhcr24	ENSMUST00000047973.3	24-dehydrocholesterol reductase 	9729	2	1	1	0	1	mmu-miR-6954-5p				-0.41	-0.41	< 0.1
Fam53b	ENSMUST00000097998.3	family with sequence similarity 53, member B 	329	2	0	2	0	0	mmu-miR-6954-5p				-0.41	-0.51	< 0.1
Xpnpep3	ENSMUST00000041609.5	X-prolyl aminopeptidase (aminopeptidase P) 3, putative 	465	3	0	1	2	0	mmu-miR-486a-3p				-0.41	-0.43	< 0.1
Gigyf1	ENSMUST00000031727.7	GRB10 interacting GYF protein 1 	621	4	2	2	0	1	mmu-miR-486a-3p				-0.41	-0.41	< 0.1
Ereg	ENSMUST00000031324.4	epiregulin 	23	2	2	0	0	0	mmu-miR-486a-3p				-0.41	-0.48	< 0.1
Def8	ENSMUST00000065534.4	differentially expressed in FDCP 8 	1168	2	0	1	1	0	mmu-miR-486a-3p				-0.41	-0.41	< 0.1
Apol7b	ENSMUST00000089469.5	apolipoprotein L 7b 	5	1	0	1	0	0	mmu-miR-486a-3p				-0.41	-0.41	< 0.1
Pomgnt1	ENSMUST00000121052.2	protein O-linked mannose beta 1,2-N-acetylglucosaminyltransferase 	305	1	1	0	0	0	mmu-miR-6954-5p				-0.41	-0.41	< 0.1
Pgc	ENSMUST00000024782.6	progastricsin (pepsinogen C) 	5	1	0	1	0	0	mmu-miR-6954-5p				-0.41	-0.41	< 0.1
Fam195b	ENSMUST00000034913.4	family with sequence similarity 195, member B 	244	1	0	0	1	2	mmu-miR-486a-3p				-0.41	-0.43	< 0.1
Trim11	ENSMUST00000108809.2	tripartite motif-containing 11 	610	1	0	1	0	3	mmu-miR-6954-5p				-0.41	-0.49	< 0.1
C1qtnf1	ENSMUST00000017590.3	C1q and tumor necrosis factor related protein 1 	315	3	0	1	2	1	mmu-miR-486a-3p				-0.41	-0.48	< 0.1
Tcp11	ENSMUST00000042692.6	t-complex protein 11 	27	1	1	0	0	2	mmu-miR-6954-5p				-0.41	-0.53	< 0.1
Dvl1	ENSMUST00000030948.10	dishevelled, dsh homolog 1 (Drosophila) 	111	1	0	0	1	1	mmu-miR-486a-3p				-0.41	-0.41	< 0.1
Galns	ENSMUST00000015171.9	galactosamine (N-acetyl)-6-sulfate sulfatase 	125	1	1	0	0	0	mmu-miR-486a-3p				-0.41	-0.41	< 0.1
Apol7e	ENSMUST00000096358.4	apolipoprotein L 7e 	5	1	0	1	0	0	mmu-miR-486a-3p				-0.41	-0.41	< 0.1
Elof1	ENSMUST00000166335.1	elongation factor 1 homolog (ELF1, S. cerevisiae) 	1879	2	1	1	0	2	mmu-miR-6954-5p				-0.41	-0.79	< 0.1
Lrsam1	ENSMUST00000028132.8	leucine rich repeat and sterile alpha motif containing 1 	255	3	0	2	1	0	mmu-miR-6954-5p				-0.41	-0.42	< 0.1
Pitpnm3	ENSMUST00000075258.7	PITPNM family member 3 	10	2	0	1	1	1	mmu-miR-6954-5p				-0.41	-0.42	< 0.1
Prss55	ENSMUST00000171503.2	protease, serine 55 	6	1	0	1	0	0	mmu-miR-6954-5p				-0.41	-0.41	< 0.1
Alx4	ENSMUST00000111254.1	aristaless-like homeobox 4 	37	3	1	1	1	1	mmu-miR-6954-5p				-0.41	-0.41	< 0.1
Wfdc13	ENSMUST00000088260.1	WAP four-disulfide core domain 13 	5	1	0	1	0	0	mmu-miR-486a-3p				-0.41	-0.41	< 0.1
Tmem72	ENSMUST00000056623.7	transmembrane protein 72 	27	1	1	0	0	0	mmu-miR-6954-5p				-0.41	-0.41	< 0.1
Spdef	ENSMUST00000114870.2	SAM pointed domain containing ets transcription factor 	10	1	1	0	0	0	mmu-miR-486a-3p				-0.41	-0.41	< 0.1
Cplx3	ENSMUST00000045068.8	complexin 3 	7	1	1	0	0	0	mmu-miR-486a-3p				-0.41	-0.41	< 0.1
Tox2	ENSMUST00000109428.3	TOX high mobility group box family member 2 	256	3	0	1	2	0	mmu-miR-486a-3p				-0.41	-0.41	< 0.1
Tmem28	ENSMUST00000096363.2	transmembrane protein 28 	64	2	0	2	0	0	mmu-miR-6954-5p				-0.41	-0.41	< 0.1
Anp32a	ENSMUST00000085519.7	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A 	803	1	0	1	0	0	mmu-miR-6954-5p				-0.40	-0.41	< 0.1
Mc5r	ENSMUST00000172148.1	melanocortin 5 receptor 	41	3	0	3	0	0	mmu-miR-6954-5p				-0.40	-0.58	< 0.1
Tob2	ENSMUST00000039199.3	transducer of ERBB2, 2 	26	1	0	1	0	1	mmu-miR-6954-5p				-0.40	-0.40	< 0.1
Saa3	ENSMUST00000006956.7	serum amyloid A 3 	12	1	0	1	0	0	mmu-miR-6954-5p				-0.40	-0.40	< 0.1
Ncmap	ENSMUST00000105858.2	noncompact myelin associated protein 	24	1	1	0	0	0	mmu-miR-486a-3p				-0.40	-0.40	< 0.1
Tmem150a	ENSMUST00000132243.1	transmembrane protein 150A 	2698	2	0	2	0	0	mmu-miR-486a-3p				-0.40	-0.41	< 0.1
Naa40	ENSMUST00000025675.9	N(alpha)-acetyltransferase 40, NatD catalytic subunit, homolog (S. cerevisiae) 	826	2	0	1	1	0	mmu-miR-6954-5p				-0.40	-0.41	< 0.1
Ppargc1b	ENSMUST00000075299.7	peroxisome proliferative activated receptor, gamma, coactivator 1 beta 	268	2	0	2	0	2	mmu-miR-6954-5p				-0.40	-0.42	< 0.1
Lce1k	ENSMUST00000179917.1	late cornified envelope 1K 	5	1	0	1	0	0	mmu-miR-6954-5p				-0.40	-0.40	< 0.1
Mlf2	ENSMUST00000032214.8	myeloid leukemia factor 2 	18	1	0	1	0	0	mmu-miR-6954-5p				-0.40	-0.40	< 0.1
Cish	ENSMUST00000168260.1	cytokine inducible SH2-containing protein 	1467	2	0	1	1	0	mmu-miR-486a-3p				-0.40	-0.40	< 0.1
Cfl1	ENSMUST00000116560.2	cofilin 1, non-muscle 	70	2	1	1	0	0	mmu-miR-486a-3p				-0.40	-0.75	< 0.1
9930012K11Rik	ENSMUST00000058240.8	RIKEN cDNA 9930012K11 gene 	18	1	1	0	0	0	mmu-miR-486a-3p				-0.40	-0.40	< 0.1
Cd79a	ENSMUST00000003469.7	CD79A antigen (immunoglobulin-associated alpha) 	7	1	1	0	0	0	mmu-miR-6954-5p				-0.40	-0.40	< 0.1
Efna3	ENSMUST00000029673.5	ephrin A3 	13	2	0	1	1	2	mmu-miR-6954-5p				-0.40	-0.40	< 0.1
Lrrc61	ENSMUST00000114545.2	leucine rich repeat containing 61 	318	1	1	0	0	0	mmu-miR-486a-3p				-0.40	-0.40	< 0.1
Limd2	ENSMUST00000045923.4	LIM domain containing 2 	1423	1	0	1	0	0	mmu-miR-6954-5p				-0.40	-0.40	< 0.1
Gm4763	ENSMUST00000081657.4	predicted gene 4763 	0	1	0	1	0	0	mmu-miR-6954-5p				-0.40	-0.40	< 0.1
Arhgef10	ENSMUST00000084207.6	Rho guanine nucleotide exchange factor (GEF) 10 	285	1	1	0	0	0	mmu-miR-486a-3p				-0.40	-0.40	< 0.1
Tomm6	ENSMUST00000113301.1	translocase of outer mitochondrial membrane 6 homolog (yeast) 	882	1	0	1	0	0	mmu-miR-6954-5p				-0.40	-0.40	< 0.1
Adamts10	ENSMUST00000087623.7	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 10 	641	2	1	1	0	0	mmu-miR-6954-5p				-0.40	-0.40	< 0.1
Prph2	ENSMUST00000024773.5	peripherin 2 	7	1	1	0	0	0	mmu-miR-486a-3p				-0.40	-0.40	< 0.1
Car13	ENSMUST00000029071.8	carbonic anhydrase 13 	174	3	0	1	2	1	mmu-miR-6954-5p				-0.40	-0.63	< 0.1
9130011E15Rik	ENSMUST00000045396.7	RIKEN cDNA 9130011E15 gene 	285	2	1	1	0	0	mmu-miR-6954-5p				-0.40	-0.40	< 0.1
Setd1b	ENSMUST00000163030.3	SET domain containing 1B 	1000	2	0	2	0	1	mmu-miR-6954-5p				-0.40	-0.40	< 0.1
Kcnk18	ENSMUST00000065204.6	potassium channel, subfamily K, member 18 	5	3	0	2	1	0	mmu-miR-486a-3p				-0.40	-0.40	< 0.1
Lenep	ENSMUST00000057431.5	lens epithelial protein 	416	3	2	1	0	0	mmu-miR-6954-5p				-0.40	-1.18	< 0.1
Rasgef1b	ENSMUST00000031276.9	RasGEF domain family, member 1B 	295	2	1	0	1	1	mmu-miR-486a-3p				-0.40	-0.48	< 0.1
Cyp2ab1	ENSMUST00000023513.6	cytochrome P450, family 2, subfamily ab, polypeptide 1 	12	1	1	0	0	0	mmu-miR-486a-3p				-0.40	-0.40	< 0.1
Syp	ENSMUST00000069520.5	synaptophysin 	112	2	0	2	0	0	mmu-miR-6954-5p				-0.40	-0.43	< 0.1
Slc17a7	ENSMUST00000085374.5	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7 	109	1	1	0	0	0	mmu-miR-486a-3p				-0.40	-0.40	< 0.1
Aifm2	ENSMUST00000099706.3	apoptosis-inducing factor, mitochondrion-associated 2 	249	2	0	2	0	0	mmu-miR-6954-5p				-0.40	-0.41	< 0.1
Sh3bp5l	ENSMUST00000116376.3	SH3 binding domain protein 5 like 	165	2	2	0	0	1	mmu-miR-486a-3p				-0.40	-0.52	< 0.1
BC049730	ENSMUST00000051714.7	cDNA sequence BC049730 	7	1	0	1	0	0	mmu-miR-6954-5p				-0.40	-0.40	< 0.1
Tnfrsf23	ENSMUST00000152703.1	tumor necrosis factor receptor superfamily, member 23 	68	2	0	1	1	0	mmu-miR-6954-5p				-0.40	-0.43	< 0.1
Plekhm1	ENSMUST00000041272.9	pleckstrin homology domain containing, family M (with RUN domain) member 1 	465	2	0	1	1	2	mmu-miR-6954-5p				-0.40	-0.69	< 0.1
E130309F12Rik	ENSMUST00000076670.2	RIKEN cDNA E130309F12 gene 	5	1	1	0	0	0	mmu-miR-486a-3p				-0.40	-0.40	< 0.1
Rftn1	ENSMUST00000044503.8	raftlin lipid raft linker 1 	486	1	1	0	0	0	mmu-miR-486a-3p				-0.40	-0.40	< 0.1
Adap2	ENSMUST00000021050.8	ArfGAP with dual PH domains 2 	586	1	1	0	0	0	mmu-miR-486a-3p				-0.40	-0.40	< 0.1
Phf19	ENSMUST00000028232.3	PHD finger protein 19 	118	2	0	1	1	0	mmu-miR-486a-3p				-0.40	-0.40	< 0.1
Afmid	ENSMUST00000073388.7	arylformamidase 	185	1	1	0	0	0	mmu-miR-486a-3p				-0.40	-0.40	< 0.1
Azgp1	ENSMUST00000035390.5	alpha-2-glycoprotein 1, zinc 	16140	2	0	1	1	0	mmu-miR-486a-3p				-0.40	-0.57	< 0.1
Khsrp	ENSMUST00000007814.8	KH-type splicing regulatory protein 	82	2	0	2	0	0	mmu-miR-6954-5p				-0.40	-0.44	< 0.1
Nsg1	ENSMUST00000031009.4	neuron specific gene family member 1 	316	1	0	1	0	0	mmu-miR-486a-3p				-0.40	-0.41	< 0.1
Adc	ENSMUST00000106068.2	arginine decarboxylase 	48	2	0	2	0	1	mmu-miR-6954-5p				-0.40	-0.70	< 0.1
Tbxa2r	ENSMUST00000105325.2	thromboxane A2 receptor 	116	1	1	0	0	0	mmu-miR-486a-3p				-0.40	-0.40	< 0.1
Stk32b	ENSMUST00000094836.4	serine/threonine kinase 32B 	7	2	0	1	1	0	mmu-miR-486a-3p				-0.40	-0.40	< 0.1
Gdf11	ENSMUST00000026408.6	growth differentiation factor 11 	123	2	1	0	1	1	mmu-miR-486a-3p				-0.39	-0.40	< 0.1
Arhgap35	ENSMUST00000075845.5	Rho GTPase activating protein 35 	152	3	0	2	1	1	mmu-miR-486a-3p				-0.39	-0.41	< 0.1
Mvb12b	ENSMUST00000041555.4	multivesicular body subunit 12B 	501	2	1	0	1	0	mmu-miR-486a-3p				-0.39	-0.41	< 0.1
Adam11	ENSMUST00000068150.5	a disintegrin and metallopeptidase domain 11 	163	3	0	0	3	1	mmu-miR-486a-3p				-0.39	-0.45	< 0.1
Sod3	ENSMUST00000101208.4	superoxide dismutase 3, extracellular 	1632	1	0	1	0	0	mmu-miR-6954-5p				-0.39	-0.40	< 0.1
Gpr158	ENSMUST00000055946.7	G protein-coupled receptor 158 	5	2	0	2	0	0	mmu-miR-6954-5p				-0.39	-0.39	< 0.1
Tsc1	ENSMUST00000028155.6	tuberous sclerosis 1 	1405	3	2	1	0	1	mmu-miR-486a-3p				-0.39	-0.42	< 0.1
Dgkd	ENSMUST00000027517.8	diacylglycerol kinase, delta 	2455	2	2	0	0	1	mmu-miR-486a-3p				-0.39	-0.39	< 0.1
4930578G10Rik	ENSMUST00000107984.1	RIKEN cDNA 4930578G10 gene 	5	1	0	1	0	0	mmu-miR-6954-5p				-0.39	-0.39	< 0.1
Pfkfb4	ENSMUST00000051873.9	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 	44	2	0	2	0	2	mmu-miR-6954-5p				-0.39	-0.39	< 0.1
Fstl4	ENSMUST00000036796.7	follistatin-like 4 	9	4	2	1	1	0	mmu-miR-486a-3p				-0.39	-0.67	< 0.1
Gle1	ENSMUST00000019859.8	GLE1 RNA export mediator (yeast) 	692	1	1	0	0	0	mmu-miR-6954-5p				-0.39	-0.47	< 0.1
Fbxo22	ENSMUST00000034859.9	F-box protein 22 	257	1	1	0	0	0	mmu-miR-486a-3p				-0.39	-0.39	< 0.1
Scamp5	ENSMUST00000046587.6	secretory carrier membrane protein 5 	36	2	0	2	0	0	mmu-miR-486a-3p				-0.39	-0.57	< 0.1
Rab1b	ENSMUST00000025804.5	RAB1B, member RAS oncogene family 	359	2	0	2	0	1	mmu-miR-6954-5p				-0.39	-0.46	< 0.1
Prkab2	ENSMUST00000045743.7	protein kinase, AMP-activated, beta 2 non-catalytic subunit 	1595	2	0	1	1	1	mmu-miR-486a-3p				-0.39	-0.40	< 0.1
Rhot2	ENSMUST00000043897.10	ras homolog gene family, member T2 	4888	1	0	1	0	1	mmu-miR-6954-5p				-0.39	-0.40	< 0.1
Fam222a	ENSMUST00000043650.7	family with sequence similarity 222, member A 	26	2	1	0	1	0	mmu-miR-486a-3p				-0.39	-0.39	< 0.1
Dcaf12l1	ENSMUST00000115056.1	DDB1 and CUL4 associated factor 12-like 1 	268	1	1	0	0	0	mmu-miR-486a-3p				-0.39	-0.39	< 0.1
Ace	ENSMUST00000001963.8	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1 	1235	1	1	0	0	0	mmu-miR-6954-5p				-0.39	-0.39	< 0.1
Slc8a2	ENSMUST00000168693.1	solute carrier family 8 (sodium/calcium exchanger), member 2 	31	2	1	0	1	1	mmu-miR-486a-3p				-0.39	-0.59	< 0.1
Slc11a2	ENSMUST00000138843.2	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2 	799	2	1	1	0	0	mmu-miR-6954-5p				-0.39	-0.51	< 0.1
Rab34	ENSMUST00000002128.8	RAB34, member RAS oncogene family 	2771	1	0	1	0	1	mmu-miR-6954-5p				-0.39	-0.39	< 0.1
Hoxa10	ENSMUST00000125581.1	homeobox A10 	600	1	1	0	0	0	mmu-miR-6954-5p				-0.39	-0.39	< 0.1
Zfp385a	ENSMUST00000168828.1	zinc finger protein 385A 	139	2	0	1	1	0	mmu-miR-6954-5p				-0.39	-0.39	< 0.1
Atxn2l	ENSMUST00000167759.2	ataxin 2-like 	29	1	1	0	0	0	mmu-miR-486a-3p				-0.39	-0.51	< 0.1
Prodh	ENSMUST00000003620.6	proline dehydrogenase 	1676	1	1	0	0	0	mmu-miR-6954-5p				-0.39	-0.39	< 0.1
Arl4c	ENSMUST00000159814.1	ADP-ribosylation factor-like 4C 	131	1	1	0	0	1	mmu-miR-486a-3p				-0.39	-0.41	< 0.1
2010003K11Rik	ENSMUST00000048482.6	RIKEN cDNA 2010003K11 gene 	53	1	0	1	0	0	mmu-miR-486a-3p				-0.39	-0.39	< 0.1
Slc12a9	ENSMUST00000039991.8	solute carrier family 12 (potassium/chloride transporters), member 9 	24	1	1	0	0	0	mmu-miR-486a-3p				-0.39	-0.39	< 0.1
Cdk14	ENSMUST00000115451.2	cyclin-dependent kinase 14 	1436	2	0	2	0	0	mmu-miR-6954-5p				-0.39	-0.39	< 0.1
Lrfn1	ENSMUST00000108288.4	leucine rich repeat and fibronectin type III domain containing 1 	441	2	0	2	0	0	mmu-miR-6954-5p				-0.39	-0.39	< 0.1
Qsox1	ENSMUST00000035325.9	quiescin Q6 sulfhydryl oxidase 1 	1530	4	2	1	1	2	mmu-miR-486a-3p				-0.39	-0.67	< 0.1
Kl	ENSMUST00000078856.6	klotho 	907	1	1	0	0	2	mmu-miR-486a-3p				-0.39	-0.43	< 0.1
Acad12	ENSMUST00000041252.7	acyl-Coenzyme A dehydrogenase family, member 12 	901	2	2	0	0	1	mmu-miR-486a-3p				-0.39	-0.79	< 0.1
Slc25a42	ENSMUST00000110127.2	solute carrier family 25, member 42 	166	2	2	0	0	0	mmu-miR-486a-3p				-0.39	-0.70	< 0.1
Cdkn1a	ENSMUST00000023829.6	cyclin-dependent kinase inhibitor 1A (P21) 	3377	2	0	1	1	0	mmu-miR-6954-5p				-0.38	-0.39	< 0.1
Gata6	ENSMUST00000047762.7	GATA binding protein 6 	407	2	2	0	0	0	mmu-miR-486a-3p				-0.38	-0.49	< 0.1
Calm3	ENSMUST00000019514.9	calmodulin 3 	1213	3	1	2	0	1	mmu-miR-6954-5p				-0.38	-1.11	< 0.1
Lrrc48	ENSMUST00000094140.3	leucine rich repeat containing 48 	12	1	1	0	0	0	mmu-miR-6954-5p				-0.38	-0.47	< 0.1
Ngf	ENSMUST00000106925.3	nerve growth factor 	1496	2	1	1	0	0	mmu-miR-6954-5p				-0.38	-0.47	< 0.1
Pfn2	ENSMUST00000066882.8	profilin 2 	5124	1	0	1	0	0	mmu-miR-486a-3p				-0.38	-0.38	< 0.1
Rps6ka4	ENSMUST00000025903.5	ribosomal protein S6 kinase, polypeptide 4 	215	1	1	0	0	1	mmu-miR-6954-5p				-0.38	-0.38	< 0.1
Zswim1	ENSMUST00000017908.2	zinc finger SWIM-type containing 1 	270	1	1	0	0	0	mmu-miR-486a-3p				-0.38	-0.39	< 0.1
Rtn4	ENSMUST00000078830.5	reticulon 4 	75243	1	1	0	0	0	mmu-miR-486a-3p				-0.38	-0.39	< 0.1
Cmtm7	ENSMUST00000035009.9	CKLF-like MARVEL transmembrane domain containing 7 	88	1	0	1	0	0	mmu-miR-486a-3p				-0.38	-0.39	< 0.1
Frmpd1	ENSMUST00000044773.6	FERM and PDZ domain containing 1 	19	1	0	1	0	0	mmu-miR-486a-3p				-0.38	-0.38	< 0.1
1700030K09Rik	ENSMUST00000064853.7	RIKEN cDNA 1700030K09 gene 	113	1	1	0	0	0	mmu-miR-486a-3p				-0.38	-0.38	< 0.1
Vat1	ENSMUST00000040430.7	vesicle amine transport protein 1 homolog (T californica) 	1543	1	1	0	0	0	mmu-miR-486a-3p				-0.38	-0.38	< 0.1
Fam110a	ENSMUST00000109865.2	family with sequence similarity 110, member A 	19	1	1	0	0	0	mmu-miR-486a-3p				-0.38	-0.45	< 0.1
Fam210b	ENSMUST00000028995.4	family with sequence similarity 210, member B 	1335	2	0	1	1	0	mmu-miR-486a-3p				-0.38	-0.44	< 0.1
Tpm3	ENSMUST00000121503.2	tropomyosin 3, gamma 	62	1	0	1	0	0	mmu-miR-486a-3p				-0.38	-0.38	< 0.1
Jph1	ENSMUST00000038382.4	junctophilin 1 	1880	2	0	2	0	0	mmu-miR-6954-5p				-0.38	-0.39	< 0.1
Hs6st1	ENSMUST00000088174.3	heparan sulfate 6-O-sulfotransferase 1 	3416	2	0	1	1	0	mmu-miR-486a-3p				-0.38	-0.38	< 0.1
Ap1b1	ENSMUST00000009234.10	adaptor protein complex AP-1, beta 1 subunit 	2971	1	1	0	0	1	mmu-miR-486a-3p				-0.38	-0.38	< 0.1
Srpr	ENSMUST00000034541.6	signal recognition particle receptor ('docking protein') 	69	2	0	0	2	0	mmu-miR-6954-5p				-0.38	-0.38	< 0.1
Jam3	ENSMUST00000034472.9	junction adhesion molecule 3 	110	2	0	0	2	0	mmu-miR-486a-3p				-0.38	-0.41	< 0.1
Slc7a12	ENSMUST00000037321.7	solute carrier family 7 (cationic amino acid transporter, y+ system), member 12 	14	2	2	0	0	0	mmu-miR-486a-3p				-0.38	-0.64	< 0.1
Mpz	ENSMUST00000070758.4	myelin protein zero 	5	1	1	0	0	0	mmu-miR-486a-3p				-0.38	-0.38	< 0.1
9330161L09Rik	ENSMUST00000056140.4	RIKEN cDNA 9330161L09 gene 	15	1	0	1	0	0	mmu-miR-6954-5p				-0.38	-0.38	< 0.1
Tarbp2	ENSMUST00000023813.3	TAR (HIV) RNA binding protein 2 	5	1	0	1	0	0	mmu-miR-6954-5p				-0.38	-0.38	< 0.1
Hoxc9	ENSMUST00000001706.6	homeobox C9 	234	1	0	0	1	0	mmu-miR-6954-5p				-0.38	-0.38	< 0.1
Sox13	ENSMUST00000144386.2	SRY (sex determining region Y)-box 13 	396	2	0	2	0	1	mmu-miR-6954-5p				-0.38	-0.38	< 0.1
Fam101b	ENSMUST00000021207.6	family with sequence similarity 101, member B 	1339	2	0	2	0	0	mmu-miR-6954-5p				-0.38	-0.38	< 0.1
Mb21d1	ENSMUST00000034898.8	Mab-21 domain containing 1 	40	2	1	1	0	0	mmu-miR-6954-5p				-0.38	-0.38	< 0.1
Fgf22	ENSMUST00000020577.2	fibroblast growth factor 22 	1	1	1	0	0	0	mmu-miR-486a-3p				-0.38	-0.38	< 0.1
Ucma	ENSMUST00000167607.2	upper zone of growth plate and cartilage matrix associated 	9	1	0	1	0	0	mmu-miR-6954-5p				-0.38	-0.38	< 0.1
2300003K06Rik	ENSMUST00000105054.2	RIKEN cDNA 2300003K06 gene 	5	1	1	0	0	0	mmu-miR-486a-3p				-0.38	-0.38	< 0.1
Lix1	ENSMUST00000115576.2	limb expression 1 homolog (chicken) 	43	1	1	0	0	0	mmu-miR-486a-3p				-0.38	-0.38	< 0.1
Lrrc51	ENSMUST00000163903.2	leucine rich repeat containing 51 	384	1	0	1	0	1	mmu-miR-486a-3p				-0.38	-0.38	< 0.1
Il33	ENSMUST00000120388.3	interleukin 33 	1905	2	0	1	1	0	mmu-miR-486a-3p				-0.38	-0.38	< 0.1
Serinc5	ENSMUST00000049488.7	serine incorporator 5 	20	2	1	1	0	2	mmu-miR-486a-3p				-0.38	-0.40	< 0.1
Oaf	ENSMUST00000034512.5	OAF homolog (Drosophila) 	4152	2	0	1	1	1	mmu-miR-486a-3p				-0.38	-0.38	< 0.1
Plbd2	ENSMUST00000031597.6	phospholipase B domain containing 2 	1754	3*	0	2	0	0	mmu-miR-6954-5p				-0.38	-0.41	< 0.1
Olfr1393	ENSMUST00000078932.1	olfactory receptor 1393 	5	1	1	0	0	0	mmu-miR-486a-3p				-0.38	-0.38	< 0.1
Hrh1	ENSMUST00000088987.2	histamine receptor H1 	5	2	1	1	0	0	mmu-miR-6954-5p				-0.38	-0.38	< 0.1
Csrnp2	ENSMUST00000061457.5	cysteine-serine-rich nuclear protein 2 	35	1	1	0	0	0	mmu-miR-486a-3p				-0.38	-0.40	< 0.1
Defb19	ENSMUST00000053180.3	defensin beta 19 	7	1	0	1	0	0	mmu-miR-6954-5p				-0.38	-0.38	< 0.1
Rps6ka2	ENSMUST00000024575.6	ribosomal protein S6 kinase, polypeptide 2 	5	2	1	1	0	0	mmu-miR-486a-3p				-0.38	-0.38	< 0.1
Adamtsl1	ENSMUST00000141889.2	ADAMTS-like 1 	104	1	0	1	0	2	mmu-miR-486a-3p				-0.38	-0.38	< 0.1
Gabrg3	ENSMUST00000068911.7	gamma-aminobutyric acid (GABA) A receptor, subunit gamma 3 	9	3	2	0	1	1	mmu-miR-486a-3p				-0.37	-0.69	< 0.1
Mme	ENSMUST00000029400.1	membrane metallo endopeptidase 	1036	3	1	1	1	1	mmu-miR-486a-3p				-0.37	-0.55	< 0.1
Gm6658	ENSMUST00000098517.1	predicted gene 6658 	62	1	1	0	0	0	mmu-miR-486a-3p				-0.37	-0.37	< 0.1
Pgrmc2	ENSMUST00000058578.7	progesterone receptor membrane component 2 	2661	1	1	0	0	0	mmu-miR-6954-5p				-0.37	-0.38	< 0.1
Foxn1	ENSMUST00000108294.1	forkhead box N1 	5	1	1	0	0	0	mmu-miR-486a-3p				-0.37	-0.37	< 0.1
Zfyve1	ENSMUST00000048319.4	zinc finger, FYVE domain containing 1 	283	2	0	2	0	0	mmu-miR-6954-5p				-0.37	-0.47	< 0.1
Sema5a	ENSMUST00000067458.6	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A 	202	3	1	2	0	0	mmu-miR-6954-5p				-0.37	-0.41	< 0.1
Mcm10	ENSMUST00000102985.2	minichromosome maintenance deficient 10 (S. cerevisiae) 	398	2	1	0	1	0	mmu-miR-486a-3p				-0.37	-0.42	< 0.1
Homer3	ENSMUST00000140212.2	homer homolog 3 (Drosophila) 	345	1	1	0	0	0	mmu-miR-6954-5p				-0.37	-0.37	< 0.1
Rab5c	ENSMUST00000107364.2	RAB5C, member RAS oncogene family 	3267	1	0	1	0	0	mmu-miR-6954-5p				-0.37	-0.37	< 0.1
Rhov	ENSMUST00000037360.7	ras homolog gene family, member V 	11	1	1	0	0	0	mmu-miR-486a-3p				-0.37	-0.37	< 0.1
