GENEID	GeneSymbol	Chromosome	Biotype	Strand
ENSMUSG00000076487.2	Trbj1-5	chr6:41512018-41512067	TR_J_gene	+
ENSMUSG00000076488.2	Trbj1-6	chr6:41512488-41512540	TR_J_gene	+
ENSMUSG00000076489.3	Trbj1-7	chr6:41512576-41512621	TR_J_gene	+
ENSMUSG00000076490.7	Trbc1	chr6:41515152-41516815	TR_C_gene	+
ENSMUSG00000094569.2	Trbd2	chr6:41519097-41519110	TR_D_gene	+
ENSMUSG00000076492.2	Trbj2-1	chr6:41519688-41519737	TR_J_gene	+
ENSMUSG00000076493.2	Trbj2-2	chr6:41519891-41519941	TR_J_gene	+
ENSMUSG00000076494.2	Trbj2-3	chr6:41520157-41520205	TR_J_gene	+
ENSMUSG00000076495.2	Trbj2-4	chr6:41520296-41520344	TR_J_gene	+
ENSMUSG00000076496.2	Trbj2-5	chr6:41520387-41520435	TR_J_gene	+
ENSMUSG00000090818.2	Trbj2-6	chr6:41520532-41520579	TR_J_pseudogene	+
ENSMUSG00000076497.2	Trbj2-7	chr6:41520744-41520790	TR_J_gene	+
ENSMUSG00000076498.3	Trbc2	chr6:41523664-41525286	TR_C_gene	+
ENSMUSG00000076499.4	Trbv31	chr6:41534625-41535386	TR_V_gene	-
ENSMUSG00000098970.3	Gm27549	chr6:41579178-41579239	snRNA	-
ENSMUSG00000029869.8	Ephb6	chr6:41582416-41597443	protein_coding	+
ENSMUSG00000029868.15	Trpv6	chr6:41597558-41613339	protein_coding	-
ENSMUSG00000036899.11	Trpv5	chr6:41629107-41657703	protein_coding	-
ENSMUSG00000029867.6	Llcfc1	chr6:41661365-41662651	protein_coding	+
ENSMUSG00000029866.14	Kel	chr6:41663264-41681273	protein_coding	-
ENSMUSG00000103788.2	Gm37527	chr6:41669574-41673120	TEC	-
ENSMUSG00000045479.8	Olfr459	chr6:41745704-41752111	protein_coding	-
ENSMUSG00000058499.10	Pip	chr6:41824469-41828999	protein_coding	+
ENSMUSG00000014104.13	Sval2	chr6:41829923-41841347	protein_coding	+
ENSMUSG00000029865.5	Sval1	chr6:41928564-41933032	protein_coding	+
ENSMUSG00000062833.3	Sval3	chr6:41945074-41950024	protein_coding	+
ENSMUSG00000023289.12	Sva	chr6:42015328-42019785	protein_coding	+
ENSMUSG00000107543.2	Gm34701	chr6:42082634-42083482	transcribed_processed_pseudogene	-
ENSMUSG00000047102.5	Tas2r139	chr6:42117870-42118829	protein_coding	+
ENSMUSG00000051917.4	Tas2r144	chr6:42192262-42193221	protein_coding	+
ENSMUSG00000029864.8	Gstk1	chr6:42222869-42227381	protein_coding	+
ENSMUSG00000071506.5	Tmem139	chr6:42238893-42241489	protein_coding	+
ENSMUSG00000029863.14	Casp2	chr6:42241919-42259442	protein_coding	+
ENSMUSG00002075822.1	ENSMUSG00002075822	chr6:42252584-42252661	snoRNA	+
ENSMUSG00000029862.17	Clcn1	chr6:42263619-42292690	protein_coding	+
ENSMUSG00000029861.18	Fam131b	chr6:42292246-42301577	protein_coding	-
ENSMUSG00000108033.2	Gm44284	chr6:42305647-42327796	lncRNA	-
ENSMUSG00002076678.1	U6	chr6:42314611-42314717	snRNA	-
ENSMUSG00000029860.17	Zyx	chr6:42326564-42337147	protein_coding	+
ENSMUSG00000029859.7	Epha1	chr6:42335421-42350202	protein_coding	-
ENSMUSG00000101268.7	2010310C07Rik	chr6:42347605-42358149	lncRNA	+
ENSMUSG00000046652.4	Tas2r143	chr6:42377172-42378053	protein_coding	+
ENSMUSG00000056203.5	Tas2r135	chr6:42382368-42383460	protein_coding	+
ENSMUSG00000048284.5	Tas2r126	chr6:42411469-42412398	protein_coding	+
ENSMUSG00000108150.2	Gm44470	chr6:42420724-42420865	unprocessed_pseudogene	-
ENSMUSG00000068574.3	Olfr458	chr6:42436913-42442130	protein_coding	-
ENSMUSG00000091983.4	Olfr457	chr6:42444949-42453269	protein_coding	-
ENSMUSG00000090631.4	Olfr456	chr6:42463097-42464148	protein_coding	-
ENSMUSG00000078177.4	Gm4877	chr6:42496450-42497247	processed_pseudogene	-
ENSMUSG00000071494.6	Olfr455	chr6:42512598-42524521	protein_coding	-
ENSMUSG00000018656.6	Tcaf3	chr6:42561800-42574626	protein_coding	-
ENSMUSG00000029851.6	Tcaf2	chr6:42599950-42622188	protein_coding	-
ENSMUSG00000036667.15	Tcaf1	chr6:42644936-42687022	protein_coding	-
ENSMUSG00000107986.2	Olfr454-ps1	chr6:42698850-42699197	unprocessed_pseudogene	+
ENSMUSG00000107416.2	Gm44030	chr6:42702525-42702956	processed_pseudogene	+
ENSMUSG00000107650.2	Gm44032	chr6:42710868-42711033	processed_pseudogene	-
ENSMUSG00000095831.3	Olfr453	chr6:42716305-42723897	protein_coding	+
ENSMUSG00000107818.2	Gm44034	chr6:42722121-42722184	unprocessed_pseudogene	+
ENSMUSG00000095236.3	Olfr38	chr6:42733338-42740165	protein_coding	+
ENSMUSG00000065034.3	Gm22363	chr6:42752507-42752614	snRNA	-
ENSMUSG00000094192.6	Olfr452	chr6:42762027-42768553	protein_coding	+
ENSMUSG00000108058.2	Olfr451-ps1	chr6:42777677-42778612	polymorphic_pseudogene	+
ENSMUSG00000054431.5	Olfr450	chr6:42788873-42796015	protein_coding	+
ENSMUSG00002075492.1	U6	chr6:42809713-42809818	snRNA	+
ENSMUSG00000049168.10	Olfr449	chr6:42811318-42816450	protein_coding	+
ENSMUSG00000043119.6	Olfr448	chr6:42867375-42876019	protein_coding	+
ENSMUSG00000045708.5	Olfr447	chr6:42885812-42891207	protein_coding	+
ENSMUSG00000073111.4	Olfr446	chr6:42898311-42908075	protein_coding	+
ENSMUSG00000108157.2	Olrf445-ps1	chr6:42911528-42911841	unprocessed_pseudogene	+
ENSMUSG00000073110.4	Olfr444	chr6:42926001-42933698	protein_coding	+
ENSMUSG00000091008.2	Gm17472	chr6:42957624-42958084	IG_LV_gene	+
ENSMUSG00000091386.3	Olfr443-ps1	chr6:43044242-43072518	transcribed_unprocessed_pseudogene	+
ENSMUSG00000076500.3	Gm20730	chr6:43058452-43059031	IG_LV_gene	-
ENSMUSG00000108193.2	Olfr442-ps1	chr6:43076334-43076649	unprocessed_pseudogene	+
ENSMUSG00000094669.4	Olfr441	chr6:43083303-43094737	protein_coding	+
ENSMUSG00000107889.2	Olfr440-ps1	chr6:43099284-43100200	unprocessed_pseudogene	+
ENSMUSG00000108149.2	Olfr439-ps1	chr6:43115067-43115373	unprocessed_pseudogene	+
ENSMUSG00000094200.3	Olfr237	chr6:43123501-43134103	protein_coding	+
ENSMUSG00000071481.5	Olfr437	chr6:43140216-43146795	protein_coding	+
ENSMUSG00000043605.6	Olfr13	chr6:43149074-43154394	protein_coding	+
ENSMUSG00000107469.2	Olfr436-ps1	chr6:43164105-43164630	unprocessed_pseudogene	+
ENSMUSG00000048693.6	Olfr435	chr6:43174080-43180563	protein_coding	+
ENSMUSG00000096158.2	Gm21827	chr6:43187267-43187689	processed_pseudogene	+
ENSMUSG00000059411.7	Olfr434	chr6:43189955-43195047	protein_coding	+
ENSMUSG00000061210.5	Olfr47	chr6:43208463-43213893	protein_coding	+
ENSMUSG00000108190.2	Gm44731	chr6:43241476-43242789	lncRNA	-
ENSMUSG00000033542.14	Arhgef5	chr6:43242516-43266254	protein_coding	+
ENSMUSG00000107861.2	Gm44253	chr6:43254689-43255316	TEC	+
ENSMUSG00000029736.16	Nobox	chr6:43280608-43286488	protein_coding	-
ENSMUSG00000029735.18	Tpk1	chr6:43321935-43643212	protein_coding	-
ENSMUSG00000084325.3	Gm15550	chr6:43350739-43352486	processed_pseudogene	+
ENSMUSG00000107709.2	9430018G01Rik	chr6:43444913-43451252	lncRNA	+
ENSMUSG00000107465.2	Gm5990	chr6:43743499-43744244	processed_pseudogene	-
ENSMUSG00000107920.2	Gm7783	chr6:43833058-43833838	processed_pseudogene	-
ENSMUSG00000077146.3	Gm22939	chr6:43864128-43864258	snoRNA	+
ENSMUSG00000107598.2	Gm35216	chr6:44057422-44060289	lncRNA	-
ENSMUSG00000107953.2	Gm44211	chr6:44644225-44644369	processed_pseudogene	-
ENSMUSG00000107845.2	Gm44212	chr6:44798505-44799401	processed_pseudogene	+
ENSMUSG00000107904.2	Gm44213	chr6:44942857-44943559	processed_pseudogene	+
ENSMUSG00000039419.18	Cntnap2	chr6:45036291-47281147	protein_coding	+
ENSMUSG00000107729.2	B230112I24Rik	chr6:45050500-45051728	TEC	+
ENSMUSG00000107858.2	Gm43879	chr6:45057680-45061439	TEC	+
ENSMUSG00000108070.2	Gm43872	chr6:45112204-45114416	TEC	+
ENSMUSG00000107643.2	Gm43885	chr6:45171810-45174351	TEC	+
ENSMUSG00000108146.2	Gm43889	chr6:45180744-45184424	TEC	+
ENSMUSG00000107779.2	Gm43874	chr6:45222571-45225368	TEC	+
ENSMUSG00000108008.2	Gm43869	chr6:45278037-45279441	TEC	+
ENSMUSG00000107414.2	6330419E04Rik	chr6:45283058-45284320	TEC	+
ENSMUSG00000107433.2	Gm43882	chr6:45303336-45305599	TEC	+
ENSMUSG00000108123.2	Gm43884	chr6:45306172-45306730	TEC	+
ENSMUSG00000107886.2	Gm43880	chr6:45390169-45392330	TEC	+
ENSMUSG00000108055.2	Gm43876	chr6:45506017-45509245	TEC	+
ENSMUSG00000107515.2	Gm43886	chr6:45878872-45881257	TEC	+
ENSMUSG00002076345.1	7SK	chr6:46014710-46015013	misc_RNA	+
ENSMUSG00000107913.2	Gm43871	chr6:46018885-46020839	TEC	+
ENSMUSG00000107606.2	Gm43873	chr6:46022077-46026014	TEC	+
ENSMUSG00000107571.2	Gm43877	chr6:46026092-46028329	TEC	+
ENSMUSG00000107782.2	Gm43888	chr6:46049343-46051929	TEC	+
ENSMUSG00000108189.2	Gm43887	chr6:46053113-46056298	TEC	+
ENSMUSG00000107712.2	Gm43870	chr6:46111036-46115404	TEC	+
ENSMUSG00000107442.2	Gm43881	chr6:46390690-46393219	TEC	+
ENSMUSG00000089538.3	Gm25161	chr6:46458643-46458774	snoRNA	-
ENSMUSG00000107454.2	Gm43875	chr6:46463577-46466051	TEC	+
ENSMUSG00000079575.4	Rbpj-ps3	chr6:46506288-46507728	processed_pseudogene	-
ENSMUSG00000107725.2	Gm18484	chr6:46614226-46615216	processed_pseudogene	-
ENSMUSG00000107532.2	Gm35931	chr6:46755343-46755790	processed_pseudogene	-
ENSMUSG00000108217.2	Gm43883	chr6:46762887-46766636	TEC	+
ENSMUSG00000107952.2	Gm6352	chr6:47022090-47023223	processed_pseudogene	+
ENSMUSG00000107853.2	Gm18584	chr6:47409060-47410023	processed_pseudogene	-
ENSMUSG00000029686.16	Cul1	chr6:47430332-47503073	protein_coding	+
ENSMUSG00000052241.4	A930035D04Rik	chr6:47430710-47431254	pseudogene	-
ENSMUSG00000029687.17	Ezh2	chr6:47507073-47572275	protein_coding	-
ENSMUSG00000107628.2	Gm44282	chr6:47562150-47562339	processed_pseudogene	+
ENSMUSG00000108180.2	Gm44141	chr6:47612231-47613813	TEC	+
ENSMUSG00000087897.3	Gm25283	chr6:47614077-47614153	misc_RNA	+
ENSMUSG00000064945.3	Rny3	chr6:47758558-47758659	misc_RNA	+
ENSMUSG00000097255.2	Rpl31-ps7	chr6:47762930-47763308	processed_pseudogene	-
ENSMUSG00000065701.3	Rny1	chr6:47765003-47765114	misc_RNA	-
ENSMUSG00000025823.10	Pdia4	chr6:47773075-47790364	protein_coding	-
ENSMUSG00000076060.3	Mir704	chr6:47780510-47780586	miRNA	-
ENSMUSG00000094557.2	Rpl35a-ps7	chr6:47792234-47792566	processed_pseudogene	-
ENSMUSG00000051499.8	Zfp786	chr6:47796200-47807801	protein_coding	-
ENSMUSG00000062519.14	Zfp398	chr6:47812595-47850471	protein_coding	+
ENSMUSG00000107604.2	Gm44041	chr6:47824677-47825072	processed_pseudogene	+
ENSMUSG00000025821.10	Zfp282	chr6:47854138-47885419	protein_coding	+
ENSMUSG00000052763.8	Zfp212	chr6:47897410-47909573	protein_coding	+
ENSMUSG00000072653.15	Zfp783	chr6:47920105-47932847	transcribed_unprocessed_pseudogene	+
ENSMUSG00000045466.19	Zfp956	chr6:47930324-47942234	protein_coding	+
ENSMUSG00000107824.2	Gm6443	chr6:47953937-47954810	processed_pseudogene	-
ENSMUSG00000071477.11	Zfp777	chr6:48001122-48025845	protein_coding	-
ENSMUSG00000108101.2	Gm45738	chr6:48022482-48022889	lncRNA	-
ENSMUSG00002075679.1	ENSMUSG00002075679	chr6:48025637-48025729	miRNA	+
ENSMUSG00000057691.9	Zfp746	chr6:48039329-48063527	protein_coding	-
ENSMUSG00000097434.3	Gm16630	chr6:48107840-48136214	lncRNA	-
ENSMUSG00000092888.3	Gm22122	chr6:48266162-48266361	snRNA	+
ENSMUSG00000107875.2	Gm16630	chr6:48351070-48372342	lncRNA	-
ENSMUSG00000108275.2	Gm7880	chr6:48358124-48358994	processed_pseudogene	-
ENSMUSG00000042810.15	Krba1	chr6:48372520-48396715	protein_coding	+
ENSMUSG00002076877.1	ENSMUSG00002076877	chr6:48397703-48397776	miRNA	+
ENSMUSG00000068551.13	Zfp467	chr6:48404631-48422759	protein_coding	-
ENSMUSG00000029797.14	Sspo	chr6:48425163-48478184	protein_coding	+
ENSMUSG00000107476.4	Zfp862-ps	chr6:48481271-48511766	transcribed_unitary_pseudogene	+
ENSMUSG00000095526.3	Gm10243	chr6:48500452-48500784	processed_pseudogene	+
ENSMUSG00000044211.10	Gm7887	chr6:48501488-48502024	processed_pseudogene	-
ENSMUSG00000097716.2	1700026J14Rik	chr6:48513516-48514408	lncRNA	-
ENSMUSG00000039347.8	Atp6v0e2	chr6:48514549-48518735	protein_coding	+
ENSMUSG00000073096.12	Lrrc61	chr6:48531730-48547656	protein_coding	+
ENSMUSG00000118619.2	Gm53041	chr6:48541299-48543071	unitary_pseudogene	+
ENSMUSG00000009281.7	Rarres2	chr6:48546630-48549723	protein_coding	-
ENSMUSG00000052730.8	Gm5111	chr6:48566379-48567518	lncRNA	+
ENSMUSG00000107588.2	Gm45021	chr6:48566544-48590184	protein_coding	+
ENSMUSG00000052751.17	Repin1	chr6:48570817-48576016	protein_coding	+
ENSMUSG00000107789.2	Gm44965	chr6:48570875-48596212	protein_coding	+
ENSMUSG00000007216.7	Zfp775	chr6:48578997-48600161	protein_coding	+
ENSMUSG00000107640.2	Gm38804	chr6:48590907-48599291	lncRNA	-
ENSMUSG00000053297.15	AI854703	chr6:48603698-48610623	protein_coding	+
ENSMUSG00000064262.8	Gimap8	chr6:48624168-48637809	protein_coding	+
ENSMUSG00000108117.2	Gm44262	chr6:48642337-48642794	processed_pseudogene	-
ENSMUSG00000051124.7	Gimap9	chr6:48653063-48656048	protein_coding	+
ENSMUSG00000054435.17	Gimap4	chr6:48661483-48668994	protein_coding	+
ENSMUSG00000047867.12	Gimap6	chr6:48678516-48685159	protein_coding	-
ENSMUSG00000098715.7	Gm28053	chr6:48695541-48729578	protein_coding	+
ENSMUSG00000043931.11	Gimap7	chr6:48695555-48701570	protein_coding	+
ENSMUSG00000044867.6	Gimap1os	chr6:48715280-48718378	lncRNA	-
ENSMUSG00000090019.6	Gimap1	chr6:48715988-48720729	protein_coding	+
ENSMUSG00000043505.9	Gimap5	chr6:48723131-48731144	protein_coding	+
ENSMUSG00000108298.2	Gm44226	chr6:48731164-48732920	lncRNA	-
ENSMUSG00000107481.2	4833403J16Rik	chr6:48732272-48733302	lncRNA	+
ENSMUSG00000039264.10	Gimap3	chr6:48741398-48747785	protein_coding	-
ENSMUSG00000108130.2	Gm30781	chr6:48775214-48775760	lncRNA	-
ENSMUSG00000107574.2	Gm17834	chr6:48795958-48797401	processed_pseudogene	+
ENSMUSG00000029810.16	Tmem176b	chr6:48810752-48818430	protein_coding	-
ENSMUSG00000023367.15	Tmem176a	chr6:48817853-48824005	protein_coding	+
ENSMUSG00000107597.2	Gm44764	chr6:48824593-48840041	lncRNA	-
ENSMUSG00000108084.2	Gm7932	chr6:48837263-48843017	lncRNA	+
ENSMUSG00000029811.15	Aoc1	chr6:48849830-48886122	protein_coding	+
ENSMUSG00000029813.9	Doxl1	chr6:48906829-48910621	protein_coding	+
ENSMUSG00000089335.4	Gm24348	chr6:48911728-48911857	snoRNA	+
ENSMUSG00000068537.3	Gm10242	chr6:48916732-48917061	processed_pseudogene	-
ENSMUSG00000107943.2	Gm18538	chr6:48933292-48933775	processed_pseudogene	+
ENSMUSG00000107692.2	Gm19172	chr6:48939817-48941062	processed_pseudogene	+
ENSMUSG00000068536.12	Doxl2	chr6:48951897-48955680	protein_coding	+
ENSMUSG00000108017.2	Gm18539	chr6:48958054-48959143	processed_pseudogene	+
ENSMUSG00000107656.2	4930563H07Rik	chr6:48963550-48976550	lncRNA	-
ENSMUSG00000039215.6	Svs1	chr6:48963795-48968656	protein_coding	+
ENSMUSG00000107457.2	Gm19173	chr6:48972158-48974587	processed_pseudogene	+
ENSMUSG00000029816.11	Gpnmb	chr6:49013480-49047863	protein_coding	+
ENSMUSG00000107758.2	Gm19253	chr6:49048564-49048870	processed_pseudogene	+
ENSMUSG00000029815.13	Malsu1	chr6:49050729-49063685	protein_coding	+
ENSMUSG00000107990.2	Gm7890	chr6:49057396-49057996	processed_pseudogene	-
ENSMUSG00000029814.11	Igf2bp3	chr6:49062157-49191891	protein_coding	-
ENSMUSG00000107727.2	Gm18010	chr6:49149693-49149894	processed_pseudogene	+
ENSMUSG00000029817.12	Tra2a	chr6:49220858-49240967	protein_coding	-
ENSMUSG00000107962.2	Gm43980	chr6:49231785-49233396	TEC	+
ENSMUSG00000107916.2	Gm18011	chr6:49263655-49264219	processed_pseudogene	+
ENSMUSG00000050786.9	Ccdc126	chr6:49296208-49318516	protein_coding	+
ENSMUSG00000047115.16	Fam221a	chr6:49344673-49367473	protein_coding	+
ENSMUSG00000023403.15	Stk31	chr6:49372538-49446435	protein_coding	+
ENSMUSG00000090624.2	Gm17060	chr6:49400995-49401818	processed_pseudogene	-
ENSMUSG00000108266.2	Gm5305	chr6:49519916-49520661	processed_pseudogene	-
ENSMUSG00000107982.2	Gm44219	chr6:49704231-49704503	processed_pseudogene	-
ENSMUSG00000029819.7	Npy	chr6:49799690-49806487	protein_coding	+
ENSMUSG00000107664.2	Gm18007	chr6:49834983-49835826	processed_pseudogene	-
ENSMUSG00000108071.2	Gm3455	chr6:50028166-50084608	lncRNA	+
ENSMUSG00000038388.15	Pals2	chr6:50087221-50175919	protein_coding	+
ENSMUSG00000029821.16	Gsdme	chr6:50165868-50240842	protein_coding	-
ENSMUSG00000029822.16	Osbpl3	chr6:50270310-50433181	protein_coding	-
ENSMUSG00000077357.3	Gm26289	chr6:50516884-50517014	snoRNA	-
ENSMUSG00000063694.6	Cycs	chr6:50539543-50543518	protein_coding	-
ENSMUSG00000085776.9	5430402O13Rik	chr6:50543623-50571845	lncRNA	+
ENSMUSG00000099221.3	Mir6371	chr6:50549378-50549488	miRNA	+
ENSMUSG00000029828.5	4921507P07Rik	chr6:50550282-50573612	protein_coding	-
ENSMUSG00000107447.2	Gm44054	chr6:50576849-50577220	processed_pseudogene	+
ENSMUSG00000107418.2	Gm4782	chr6:50585617-50587662	processed_pseudogene	+
ENSMUSG00000108135.2	Gm8035	chr6:50594829-50595515	processed_pseudogene	-
ENSMUSG00000107821.2	Gm8038	chr6:50596821-50598864	processed_pseudogene	-
ENSMUSG00000108016.2	Gm8039	chr6:50602725-50603436	processed_pseudogene	-
ENSMUSG00000107740.2	Gm18765	chr6:50604660-50605319	processed_pseudogene	-
ENSMUSG00000029831.8	Npvf	chr6:50627652-50631419	protein_coding	-
ENSMUSG00000107672.2	Gm3017	chr6:50723667-50724792	processed_pseudogene	-
ENSMUSG00000107667.3	C530044C16Rik	chr6:50753095-50792013	lncRNA	+
ENSMUSG00000107978.2	Gm44109	chr6:50776052-50780011	lncRNA	-
ENSMUSG00000118645.2	ENSMUSG00000118645	chr6:50823693-50824750	lncRNA	-
ENSMUSG00000107993.4	G930045G22Rik	chr6:50826003-50855057	lncRNA	-
ENSMUSG00000107488.2	Gm31579	chr6:50886750-50887715	TEC	+
ENSMUSG00000108153.2	Gm44402	chr6:50944248-50944485	processed_pseudogene	+
ENSMUSG00000065505.3	Mir148a	chr6:51246792-51246890	miRNA	-
ENSMUSG00000107619.2	Gm32479	chr6:51260512-51264835	lncRNA	-
ENSMUSG00000107660.2	Gm6559	chr6:51356690-51369771	lncRNA	+
ENSMUSG00000108236.2	0610033M10Rik	chr6:51377946-51379199	lncRNA	-
ENSMUSG00000029832.17	Nfe2l3	chr6:51409650-51435748	protein_coding	+
ENSMUSG00000004980.17	Hnrnpa2b1	chr6:51437912-51446874	protein_coding	-
ENSMUSG00000029836.16	Cbx3	chr6:51447340-51460684	protein_coding	+
ENSMUSG00000038301.16	Snx10	chr6:51500881-51567659	protein_coding	+
ENSMUSG00002076122.1	ENSMUSG00002076122	chr6:51598612-51598688	miRNA	+
ENSMUSG00000108145.2	Gm38811	chr6:51671289-51688061	lncRNA	-
ENSMUSG00000059182.9	Skap2	chr6:51834402-51989529	protein_coding	-
ENSMUSG00000108244.2	Gm44077	chr6:51989581-52003966	lncRNA	+
ENSMUSG00000085412.8	Halr1	chr6:52079929-52090664	lncRNA	+
ENSMUSG00000081979.2	Rps8-ps3	chr6:52095222-52095871	processed_pseudogene	+
ENSMUSG00000082781.2	Rps19-ps14	chr6:52108758-52109026	processed_pseudogene	-
ENSMUSG00000029844.10	Hoxa1	chr6:52132570-52135297	protein_coding	-
ENSMUSG00000087658.3	Hotairm1	chr6:52133882-52139099	lncRNA	+
ENSMUSG00002076637.1	ENSMUSG00002076637	chr6:52135412-52135536	misc_RNA	+
ENSMUSG00002075344.1	ENSMUSG00002075344	chr6:52138022-52138235	misc_RNA	+
ENSMUSG00002074924.1	ENSMUSG00002074924	chr6:52138990-52139091	misc_RNA	+
ENSMUSG00002075580.1	ENSMUSG00002075580	chr6:52139105-52139247	misc_RNA	+
ENSMUSG00000014704.11	Hoxa2	chr6:52139397-52141811	protein_coding	-
ENSMUSG00000101298.2	Gm28308	chr6:52140339-52190319	protein_coding	-
ENSMUSG00000056445.9	Hoxaas2	chr6:52142654-52146544	lncRNA	+
ENSMUSG00000079560.14	Hoxa3	chr6:52146042-52190316	protein_coding	-
ENSMUSG00000087626.2	Gm15050	chr6:52149861-52151039	lncRNA	+
ENSMUSG00000085696.9	Hoxaas3	chr6:52152197-52192056	lncRNA	+
ENSMUSG00000056468.4	5730596B20Rik	chr6:52154478-52157831	TEC	+
ENSMUSG00000101451.2	Gm29430	chr6:52160090-52166905	lncRNA	+
ENSMUSG00000000942.11	Hoxa4	chr6:52166651-52168733	protein_coding	-
ENSMUSG00000038253.7	Hoxa5	chr6:52178734-52181567	protein_coding	-
ENSMUSG00000043219.10	Hoxa6	chr6:52183268-52185702	protein_coding	-
ENSMUSG00000038236.9	Hoxa7	chr6:52191471-52198834	protein_coding	-
ENSMUSG00000038227.16	Hoxa9	chr6:52200080-52208069	protein_coding	-
ENSMUSG00000065443.3	Mir196b	chr6:52207061-52207145	miRNA	-
ENSMUSG00000000938.12	Hoxa10	chr6:52208177-52217834	protein_coding	-
ENSMUSG00000038210.11	Hoxa11	chr6:52219086-52222790	protein_coding	-
ENSMUSG00000086427.9	Hoxa11os	chr6:52221373-52226779	lncRNA	+
ENSMUSG00002075397.1	ENSMUSG00002075397	chr6:52222989-52223084	misc_RNA	+
ENSMUSG00002075448.1	ENSMUSG00002075448	chr6:52223379-52223565	misc_RNA	+
ENSMUSG00002075224.1	ENSMUSG00002075224	chr6:52223698-52223788	misc_RNA	+
ENSMUSG00002076021.1	ENSMUSG00002076021	chr6:52224401-52224633	misc_RNA	+
ENSMUSG00002076839.1	ENSMUSG00002076839	chr6:52225312-52225515	misc_RNA	+
ENSMUSG00002076652.1	ENSMUSG00002076652	chr6:52226279-52226455	misc_RNA	+
ENSMUSG00000102373.2	9530018H14Rik	chr6:52233198-52234440	TEC	-
ENSMUSG00000038203.22	Hoxa13	chr6:52234674-52237788	protein_coding	-
ENSMUSG00002076831.1	ENSMUSG00002076831	chr6:52238139-52238197	misc_RNA	+
ENSMUSG00002076776.1	ENSMUSG00002076776	chr6:52239577-52239954	misc_RNA	+
ENSMUSG00000055408.8	Hottip	chr6:52239760-52244588	lncRNA	+
ENSMUSG00002076186.1	ENSMUSG00002076186	chr6:52240043-52240403	misc_RNA	+
ENSMUSG00002075330.1	ENSMUSG00002075330	chr6:52243569-52243739	misc_RNA	+
ENSMUSG00000107463.2	Gm44294	chr6:52274109-52274836	TEC	+
ENSMUSG00000086126.2	Evx1os	chr6:52285374-52291817	lncRNA	-
ENSMUSG00000005503.9	Evx1	chr6:52290483-52295363	protein_coding	+
ENSMUSG00000059159.7	Gm8129	chr6:52323715-52323927	processed_pseudogene	-
ENSMUSG00000084282.2	Gm15054	chr6:52334529-52334809	processed_pseudogene	-
ENSMUSG00000107895.2	1700094M24Rik	chr6:52469436-52477071	lncRNA	+
ENSMUSG00000108062.2	Gm44028	chr6:52486874-52491021	lncRNA	+
ENSMUSG00000029776.12	Hibadh	chr6:52523213-52617374	protein_coding	-
ENSMUSG00000107647.2	Gm44445	chr6:52537537-52540219	TEC	+
ENSMUSG00000107813.2	Gm44434	chr6:52576486-52580230	TEC	-
ENSMUSG00000064792.3	Gm24355	chr6:52616219-52616340	snoRNA	-
ENSMUSG00000108170.2	Gm43966	chr6:52690329-52690940	TEC	-
ENSMUSG00000004535.13	Tax1bp1	chr6:52690714-52743765	protein_coding	+
ENSMUSG00000108036.2	Gm43967	chr6:52699615-52699915	processed_pseudogene	-
ENSMUSG00000063568.12	Jazf1	chr6:52745782-53045616	protein_coding	-
ENSMUSG00000081872.2	Gm15572	chr6:52820094-52820686	processed_pseudogene	-
ENSMUSG00002075761.1	ENSMUSG00002075761	chr6:52987379-52987517	scaRNA	-
ENSMUSG00000080759.2	Gm15573	chr6:53022869-53023408	processed_pseudogene	+
ENSMUSG00000108028.2	Gm8143	chr6:53147535-53148720	processed_pseudogene	-
ENSMUSG00000107935.2	Gm4872	chr6:53198149-53201960	lncRNA	+
ENSMUSG00000053007.10	Creb5	chr6:53264255-53677361	protein_coding	+
ENSMUSG00000119449.1	Gm25818	chr6:53410959-53411122	snRNA	+
ENSMUSG00000108004.2	Gm44080	chr6:53644755-53646968	TEC	+
ENSMUSG00000107984.2	Gm5306	chr6:53754369-53755125	processed_pseudogene	+
ENSMUSG00000043496.8	Tril	chr6:53792453-53797815	protein_coding	-
ENSMUSG00000108175.2	Gm16499	chr6:53795728-53845168	lncRNA	+
ENSMUSG00000108255.2	Gm16499	chr6:53796959-53799135	lncRNA	+
ENSMUSG00000119179.1	Gm22910	chr6:53849002-53849133	snoRNA	-
ENSMUSG00000052955.6	Cpvl	chr6:53850264-53955656	protein_coding	-
ENSMUSG00000108060.3	4921529L05Rik	chr6:53955676-53995015	lncRNA	+
ENSMUSG00000004633.18	Chn2	chr6:54016539-54278795	protein_coding	+
ENSMUSG00000087670.2	9530036M11Rik	chr6:54123872-54127922	lncRNA	-
ENSMUSG00000080205.3	Gm15526	chr6:54154465-54154668	processed_pseudogene	-
ENSMUSG00000086946.8	Gm15527	chr6:54222727-54256061	lncRNA	-
ENSMUSG00000073067.11	9130019P16Rik	chr6:54246666-54407206	lncRNA	-
ENSMUSG00000045725.6	Prr15	chr6:54302820-54307186	protein_coding	+
ENSMUSG00000086040.9	Wipf3	chr6:54406588-54480753	protein_coding	+
ENSMUSG00000108081.2	Gm44026	chr6:54440670-54450155	lncRNA	-
ENSMUSG00000019124.11	Scrn1	chr6:54478158-54543474	protein_coding	-
